Year,asiaPrem_wghtd_av
Year1993,0.934808408
Year1994,1.024734004
Year1995,1.13269552
Year1996,0.97318189
Year1997,0.839177942
Year1998,0.738619782
Year1999,0.824635049
Year2000,0.839979162
Year2001,0.744206977
Year2002,0.774179719
Year2003,0.807299033
Year2004,0.740173972
Year2005,0.740786574
Year2006,0.717653368
Year2007,0.726424162
Year2008,0.7379696
Year2009,0.837149226
Year2010,0.89792905
Year2011,1.004925005
Year2012,1.013566821
Year2013,1.008777493
Year2014,1.043071206
Year2015,1.024653343
Year2016,1.024457075
Year2017,1
Year2018,1.031349676
Year2019,1.092610928
