Year,europe_wghtd_av
Year1993,0.68431602
Year1994,0.695256845
Year1995,0.74978275
Year1996,0.75950915
Year1997,0.713381514
Year1998,0.711359981
Year1999,0.736705773
Year2000,0.670506245
Year2001,0.723681989
Year2002,0.778562004
Year2003,0.854483119
Year2004,0.940035077
Year2005,0.987643669
Year2006,1.107899904
Year2007,1.14521858
Year2008,1.244527789
Year2009,1.230837832
Year2010,1.142601966
Year2011,1.252878492
Year2012,1.216782077
Year2013,1.325749661
Year2014,1.153396781
Year2015,1
Year2016,1.562861671
Year2017,1.629752095
Year2018,1.781006853
Year2019,1.937457567
