Year,north_americaPrem_wghtd_av
Year1993,0.241487676
Year1994,0.247682068
Year1995,0.255273775
Year1996,0.263785658
Year1997,0.302593873
Year1998,0.32382786
Year1999,0.307989259
Year2000,0.331715738
Year2001,0.373104571
Year2002,0.511425601
Year2003,0.564303482
Year2004,0.594635597
Year2005,0.636752197
Year2006,0.668533131
Year2007,0.694728345
Year2008,0.703754628
Year2009,0.677781745
Year2010,0.686256219
Year2011,0.720823886
Year2012,0.760195149
Year2013,0.786211028
Year2014,0.85940326
Year2015,0.903845701
Year2016,0.947809336
Year2017,1
Year2018,0.825708986
Year2019,0.87996855
