Year,oceania_wghtd_av
Year1993,0.461686206
Year1994,0.449062006
Year1995,0.438553282
Year1996,0.447940921
Year1997,0.403208239
Year1998,0.379516444
Year1999,0.412118444
Year2000,0.339559379
Year2001,0.305716446
Year2002,0.523684895
Year2003,0.458615236
Year2004,0.541498215
Year2005,0.557982479
Year2006,0.553965371
Year2007,0.751846223
Year2008,0.93502458
Year2009,0.630670258
Year2010,0.878446514
Year2011,1.594267744
Year2012,1.202185785
Year2013,1.026142501
Year2014,1.106631768
Year2015,1
Year2016,0.943948516
Year2017,1.060798396
Year2018,1.050673013
Year2019,1.073590009
